bug.id,revision.id.buggy,revision.id.fixed,report.id,report.url
92,a6af21186677821755f443fa69d9c46f8ff32029,8fe59e41e8f092b33923bcb9a281fbc228a2bf8f,TEMP-684,https://issues.apache.org/jira/browse
93,6820ef522d26fe82fc8abb537cfb14cd1cfd5b45,d7fa1f624ec0ba09cd3cbfba9913d51afc8f59c3,TEMP-1,https://issues.apache.org/jira/browse
94,f382ada1a767b9198fb9adf8cd2260a68cd6b8cd,5cbb4c7c46be1e5b31a42745d84343e14b1f57db,TEMP-2,https://issues.apache.org/jira/browse
95,aefc8f42b027b33eb7b7d3346daef46e21384535,291a35ef8be015be252664e2cbde0af741cd82f1,TEMP-672,https://issues.apache.org/jira/browse
96,e3bee443fae7f4c74985a96db1fb8a7014186fa5,9741fb8508c422668e6975304e41e5a13e0e704c,TEMP-2,https://issues.apache.org/jira/browse
97,e6a96aa94b5d9607c65659e0137687ab3f99dcba,d4e09c7b4ba4a1433feb7e5d4895cd1071e51bb1,TEMP-2,https://issues.apache.org/jira/browse
98,19319eada154fa9fdb41a72cc88be2aecf549355,52f3de5ed66574742d4eb34ead1b330c7b10e6c1,TEMP-2,https://issues.apache.org/jira/browse
99,97ae01c95837f50a2e9be34c370b271c4d8fc88b,0de91c048fb575b9e7906e966a4428574fd03695,TEMP-1,https://issues.apache.org/jira/browse
100,7371285a6c108a66f624651973bc255b26f8a909,97ae01c95837f50a2e9be34c370b271c4d8fc88b,TEMP-1,https://issues.apache.org/jira/browse
101,101f3c285dda978dd6f0ea34a6d46d8f54c66154,39e3ea7fc0bb8d28b57c0213973ef4971fdeb265,TEMP-91,https://issues.apache.org/jira/browse
102,f77de5caba5d0465fc0f821f6ab583078e84caac,b739ce7ccdaac07a7aa7bd7bbecf90baf3e340d5,TEMP-110,https://issues.apache.org/jira/browse
103,6a78ef8903ef7c2c785b8d0cc08a150d1e2ba818,2c13fc8148128d1a1f19f28b71acad262f24d4a3,TEMP-665,https://issues.apache.org/jira/browse
104,ca3c82313fa50dcd13740726ec60967fa6036c07,b3960d9773d20cf5069f31de94efe480b49d255e,TEMP-109,https://issues.apache.org/jira/browse
105,495ce8b61ad3282a1728cceb714f7633b61ab0e5,4d02b112100d7dfcd21b2ad6d0ed8947fd7ffe95,TEMP-100,https://issues.apache.org/jira/browse
106,63fec37fe55f917bd72899808dd0dea5f3e81f62,e46146c67026956d3f48d44be5c4df0fb78d5a42,TEMP-1,https://issues.apache.org/jira/browse
107,d463fa0120fc1041729b7a564b2b5f96de9d6ab6,11020bc315edd3d7549482382445b8031b5743de,TEMP-96,https://issues.apache.org/jira/browse
108,58324c1cfb9814b390a8750b0ba97dc5367817a8,d463fa0120fc1041729b7a564b2b5f96de9d6ab6,TEMP-625,https://issues.apache.org/jira/browse
109,c126bdd5161a103cdd4718552d92e2b9153df70b,58324c1cfb9814b390a8750b0ba97dc5367817a8,TEMP-93,https://issues.apache.org/jira/browse
110,c0521477eb99133098495dce53b85574fe9b3a9c,c126bdd5161a103cdd4718552d92e2b9153df70b,TEMP-90,https://issues.apache.org/jira/browse
111,556a45593593870d65373a2fa682b605bdd5dc1a,d15f480dd81b373f6815340c15b7a80490e8272d,TEMP-83,https://issues.apache.org/jira/browse
112,5796c0ca265c4556f386a18e7c5118bca1a8eae7,3816c572bc1dea6d2661a4c86082a4953526c059,TEMP-84,https://issues.apache.org/jira/browse
113,27fbd9e3a383ea3899714e743c34742607b0b73a,1de4a966ce72393f86b409725371da074697ab8a,TEMP-13,https://issues.apache.org/jira/browse
114,e921bc6a8c63dc6b33e8e220aa28084bb2434222,95c310904e83b70e534719249ff017cf6ac1a29e,TEMP-578,https://issues.apache.org/jira/browse
115,b5990be69139f0b04919bc097144a105051aafcc,30f81c47f7ea0e9f743e08e73f48c0cfcfb746ff,TEMP-5,https://issues.apache.org/jira/browse
116,1f925d7ad6d9da7ec75ba29e8668dd3267f104c1,16c983693a235bdc45c6286a1e7b01d8ef58907e,TEMP-589,https://issues.apache.org/jira/browse
117,078af456fd74c3726438bfe853492286d7006c06,7b813b674adc6c94a6c9a19524913c07b7d8bc9c,TEMP-582,https://issues.apache.org/jira/browse
118,4597f38c3608cfe8ef872144ed4bfe393a05dc84,c6b8a383de96cd0a8e94037a04510f162e4bbc68,TEMP-554,https://issues.apache.org/jira/browse
119,7791a851c4a303f47743b156007fb19c6ed8ed81,2736b6fe0b3fa22ec8e2b4184897ecadb021fc78,TEMP-559,https://issues.apache.org/jira/browse
120,e9eb2d8b5a858bb6810c941ee7891c3adcf9949d,a4705cc3c310ffb422336b319891f63eef021f1c,TEMP-535,https://issues.apache.org/jira/browse
121,9e405ca54138b63a4daff58d14d0527fef1e8e66,a653a4487774f57a7aff2c9dc1fe40b9b221cb6b,TEMP-8,https://issues.apache.org/jira/browse
122,cfb682e9da63f308d26e547bb7d0b350ef3eda42,27fb1044f1f244a9f8841f059392bd7e595797a3,TEMP-567,https://issues.apache.org/jira/browse
123,459cebc515b11fef06464b711b3b33cbc1dd8c26,947c01f6d8000122a174da3d668208eec877a799,TEMP-567,https://issues.apache.org/jira/browse
124,459cebc515b11fef06464b711b3b33cbc1dd8c26,72d00532aa8f0fb96371f01688ace8b9d53b17b8,TEMP-567,https://issues.apache.org/jira/browse
125,ed15b09985a073d0b17769bb9a28d3e41419a43b,459cebc515b11fef06464b711b3b33cbc1dd8c26,TEMP-557,https://issues.apache.org/jira/browse
126,d19259a7774e23ebdaac4af5ee4def8602fe2969,ed15b09985a073d0b17769bb9a28d3e41419a43b,TEMP-557,https://issues.apache.org/jira/browse
