num of topics,bug id,num of files that changed,num of files that changed no tests,first index exist files,max index exist files,num of files checked exist files,all indexes,first index exist files no tests,max index exist files no tests,num of files checked exist files no tests,all indexes no tests,average similarity
220,JXPATH-97,6,5,1,31,211,"[1, 23, 7, 31, 3, 25]",0,23,165,"[0, 17, 5, 23, 2]",0.23139999999999997
220,JXPATH-102,2,1,78,181,212,"[78, 181]",75,75,165,[75],0.001
220,JXPATH-100,2,1,115,199,212,"[115, 199]",102,102,165,[102],0.001
220,JXPATH-114,3,2,29,63,214,"[29, 36, 63]",10,15,165,"[10, 15]",0.172
220,JXPATH-109,4,2,66,155,214,"[107, 66, 146, 155]",66,95,165,"[95, 66]",0.366
220,JXPATH-115,2,1,8,103,214,"[103, 8]",88,88,165,[88],0.001
220,JXPATH-149,1,1,85,85,222,[85],71,71,168,[71],0.005
220,JXPATH-151,3,2,16,208,223,"[16, 23, 208]",11,14,168,"[11, 14]",0.1355
240,JXPATH-12,4,2,3,8,201,"[3, 6, 5, 8]",1,2,159,"[1, 2]",0.629
240,JXPATH-50,2,1,2,12,201,"[12, 2]",6,6,159,[6],0.276
240,JXPATH-68,1,1,26,26,203,[26],20,20,160,[20],0.156
240,JXPATH-83,3,2,93,114,205,"[93, 103, 114]",79,89,161,"[79, 89]",0.002
240,JXPATH-89,2,1,0,94,206,"[0, 94]",0,0,161,[0],0.911
240,JXPATH-94,2,1,11,17,208,"[11, 17]",9,9,163,[9],0.05
240,JXPATH-93,5,4,20,61,209,"[58, 59, 60, 61, 20]",45,48,164,"[45, 46, 47, 48]",0.03
240,JXPATH-95,2,1,0,1,209,"[1, 0]",0,0,164,[0],0.224
240,JXPATH-95,4,3,0,11,209,"[2, 10, 11, 0]",1,9,164,"[1, 8, 9]",0.07933333333333333
240,JXPATH-93,2,1,20,30,209,"[30, 20]",21,21,164,[21],0.074
240,JXPATH-97,3,2,1,21,210,"[1, 21, 11]",1,17,165,"[1, 17]",0.3095
240,JXPATH-97,3,2,0,8,211,"[0, 7, 8]",0,6,165,"[0, 6]",0.4445
240,JXPATH-97,6,5,0,28,211,"[14, 1, 0, 21, 6, 28]",0,17,165,"[10, 1, 0, 17, 5]",0.34900000000000003
240,JXPATH-102,2,1,6,184,212,"[184, 6]",142,142,165,[142],0.0
240,JXPATH-100,2,1,12,200,212,"[12, 200]",10,10,165,[10],0.114
240,JXPATH-114,3,2,64,99,214,"[64, 88, 99]",43,56,165,"[43, 56]",0.11149999999999999
240,JXPATH-109,4,2,6,160,214,"[51, 160, 80, 6]",39,137,165,"[39, 137]",0.002
240,JXPATH-115,2,1,8,128,214,"[128, 8]",101,101,165,[101],0.001
240,JXPATH-149,1,1,73,73,222,[73],63,63,168,[63],0.005
240,JXPATH-151,3,2,21,58,223,"[49, 21, 58]",13,32,168,"[32, 13]",0.097
260,JXPATH-12,4,2,0,5,201,"[0, 1, 3, 5]",0,1,159,"[0, 1]",0.7404999999999999
260,JXPATH-50,2,1,11,198,201,"[198, 11]",156,156,159,[156],0.0
260,JXPATH-68,1,1,105,105,203,[105],85,85,160,[85],0.197
260,JXPATH-83,3,2,159,166,205,"[159, 160, 166]",150,151,161,"[150, 151]",0.002
260,JXPATH-89,2,1,2,38,206,"[2, 38]",0,0,161,[0],0.374
260,JXPATH-94,2,1,1,31,208,"[31, 1]",27,27,163,[27],0.048
260,JXPATH-93,5,4,25,43,209,"[40, 41, 42, 43, 25]",32,35,164,"[32, 33, 34, 35]",0.043
260,JXPATH-95,2,1,0,2,209,"[2, 0]",1,1,164,[1],0.078
260,JXPATH-95,4,3,0,5,209,"[5, 3, 4, 0]",2,4,164,"[4, 2, 3]",0.06166666666666667
260,JXPATH-93,2,1,25,39,209,"[39, 25]",31,31,164,[31],0.048
260,JXPATH-97,3,2,0,16,210,"[9, 16, 0]",8,13,165,"[8, 13]",0.2535
260,JXPATH-97,3,2,1,10,211,"[1, 2, 10]",0,1,165,"[0, 1]",0.6645000000000001
260,JXPATH-97,6,5,1,23,211,"[4, 10, 1, 17, 2, 23]",0,13,165,"[3, 8, 0, 13, 1]",0.4892
260,JXPATH-102,2,1,11,72,212,"[72, 11]",69,69,165,[69],0.001
260,JXPATH-100,2,1,22,199,212,"[22, 199]",19,19,165,[19],0.114
260,JXPATH-114,3,2,16,185,214,"[185, 16, 142]",12,149,165,"[149, 12]",0.082
260,JXPATH-109,4,2,125,199,214,"[152, 199, 125, 138]",118,158,165,"[118, 158]",0.002
260,JXPATH-115,2,1,91,129,214,"[91, 129]",71,71,165,[71],0.175
260,JXPATH-149,1,1,135,135,222,[135],113,113,168,[113],0.004
260,JXPATH-151,3,2,136,203,223,"[136, 145, 203]",120,129,168,"[120, 129]",0.001
280,JXPATH-12,4,2,1,17,201,"[1, 2, 9, 17]",0,1,159,"[0, 1]",0.825
280,JXPATH-50,2,1,0,14,201,"[14, 0]",7,7,159,[7],0.112
280,JXPATH-68,1,1,14,14,203,[14],12,12,160,[12],0.2
280,JXPATH-83,3,2,85,177,205,"[85, 170, 177]",81,152,161,"[81, 152]",0.0155
280,JXPATH-89,2,1,2,188,206,"[2, 188]",2,2,161,[2],0.631
280,JXPATH-94,2,1,1,5,208,"[5, 1]",3,3,163,[3],0.042
280,JXPATH-93,5,4,47,70,209,"[70, 67, 68, 69, 47]",60,63,164,"[63, 60, 61, 62]",0.02975
280,JXPATH-95,2,1,0,1,209,"[0, 1]",0,0,164,[0],0.388
280,JXPATH-95,4,3,1,5,209,"[2, 4, 5, 1]",1,4,164,"[1, 3, 4]",0.10166666666666667
280,JXPATH-93,2,1,71,89,209,"[71, 89]",68,68,164,[68],0.151
280,JXPATH-97,3,2,2,31,210,"[8, 31, 2]",7,26,165,"[7, 26]",0.268
280,JXPATH-97,3,2,0,207,211,"[0, 1, 207]",0,1,165,"[0, 1]",0.676
280,JXPATH-97,6,5,0,31,211,"[4, 8, 0, 31, 1, 29]",0,25,165,"[3, 7, 0, 25, 1]",0.4880000000000001
280,JXPATH-102,2,1,12,61,212,"[61, 12]",58,58,165,[58],0.001
280,JXPATH-100,2,1,30,60,212,"[30, 60]",26,26,165,[26],0.011
280,JXPATH-114,3,2,29,111,214,"[29, 95, 111]",25,63,165,"[25, 63]",0.19
280,JXPATH-109,4,2,22,200,214,"[60, 150, 22, 200]",51,135,165,"[51, 135]",0.0015
280,JXPATH-115,2,1,88,201,214,"[201, 88]",154,154,165,[154],0.0
280,JXPATH-149,1,1,196,196,222,[196],151,151,168,[151],0.003
280,JXPATH-151,3,2,33,212,223,"[151, 33, 212]",14,122,168,"[122, 14]",0.0595
300,JXPATH-12,4,2,1,7,201,"[7, 5, 1, 3]",1,3,159,"[3, 1]",0.3075
300,JXPATH-50,2,1,1,40,201,"[40, 1]",32,32,159,[32],0.022
300,JXPATH-68,1,1,106,106,203,[106],79,79,160,[79],0.005
300,JXPATH-83,3,2,111,177,205,"[111, 112, 177]",100,101,161,"[100, 101]",0.002
300,JXPATH-89,2,1,2,188,206,"[2, 188]",2,2,161,[2],0.969
300,JXPATH-94,2,1,0,50,208,"[50, 0]",47,47,163,[47],0.002
300,JXPATH-93,5,4,86,90,209,"[87, 88, 89, 90, 86]",79,82,164,"[79, 80, 81, 82]",0.142
