project,technique,precision,recall,wasted,bug id,original score percentage,f-score,expense,t-score,cost,exam-score,bug index,changed files,changed functions
Net,460_sigmuid,0.0,0.0,5,516,0.2,0,100,100,1.0,100,93,1,1
Net,480_sigmuid,0.0,0.0,5,516,0.2,0,100,100,1.0,100,93,1,1
Net,500_sigmuid,0.0,0.0,5,516,0.2,0,100,100,1.0,100,93,1,1
Net,520_sigmuid,0.0,0.0,5,516,0.2,0,100,100,1.0,100,93,1,1
Net,540_sigmuid,0.0,0.0,5,516,0.2,0,100,100,1.0,100,93,1,1
Net,560_sigmuid,0.0,0.0,5,516,0.2,0,100,100,1.0,100,93,1,1
Net,580_sigmuid,0.0,0.0,5,516,0.2,0,100,100,1.0,100,93,1,1
Net,600_sigmuid,0.04228442084075156,0.04228442084075156,3.0,516,0.2,0.04228442084075156,60.0,60.0,0.6,60.0,93,1,1
Net,20_sigmuid,0.0,0.0,5,211,0.2,0,100,100,1.0,100,247,1,1
Net,40_sigmuid,0.18349745875795057,0.18349745875795057,3.0,211,0.2,0.18349745875795054,60.0,60.0,0.6,60.0,247,1,1
Net,60_sigmuid,0.0,0.0,5,211,0.2,0,100,100,1.0,100,247,1,1
Net,80_sigmuid,0.0,0.0,5,211,0.2,0,100,100,1.0,100,247,1,1
Net,100_sigmuid,0.0,0.0,5,211,0.2,0,100,100,1.0,100,247,1,1
Net,120_sigmuid,0.0,0.0,5,211,0.2,0,100,100,1.0,100,247,1,1
Net,140_sigmuid,0.3039172616131061,0.3039172616131061,0.0,211,0.2,0.3039172616131061,0.0,0.0,0.0,0.0,247,1,1
Net,160_sigmuid,0.14414246051333898,0.14414246051333898,1.0,211,0.2,0.14414246051333898,20.0,20.0,0.2,20.0,247,1,1
Net,180_sigmuid,0.28555318469467733,0.28555318469467733,0.0,211,0.2,0.28555318469467733,0.0,0.0,0.0,0.0,247,1,1
Net,200_sigmuid,0.06928868145682611,0.06928868145682611,3.0,211,0.2,0.06928868145682611,60.0,60.0,0.6,60.0,247,1,1
Net,220_sigmuid,0.0,0.0,5,211,0.2,0,100,100,1.0,100,247,1,1
Net,240_sigmuid,0.0,0.0,5,211,0.2,0,100,100,1.0,100,247,1,1
Net,260_sigmuid,0.0,0.0,5,211,0.2,0,100,100,1.0,100,247,1,1
Net,280_sigmuid,0.0,0.0,5,211,0.2,0,100,100,1.0,100,247,1,1
Net,300_sigmuid,0.0,0.0,5,211,0.2,0,100,100,1.0,100,247,1,1
Net,320_sigmuid,0.0,0.0,5,211,0.2,0,100,100,1.0,100,247,1,1
Net,340_sigmuid,0.0,0.0,5,211,0.2,0,100,100,1.0,100,247,1,1
Net,360_sigmuid,0.1436282197420323,0.1436282197420323,0.0,211,0.2,0.1436282197420323,0.0,0.0,0.0,0.0,247,1,1
