project,technique,precision,recall,wasted,bug id,original score percentage,f-score,expense,t-score,cost,exam-score,bug index,changed files,changed functions,ranked name MRR,ranked name avg similarity
Compress,160_sigmuid,0.527449806,0.527449806,0,551,0.2,0.527449806,0,0,0,0,78,1,1,ranked 5,ranked 16
Compress,180_sigmuid,0.612614864,0.612614864,0,551,0.2,0.612614864,0,0,0,0,78,1,1,ranked 10,ranked 10
Compress,200_sigmuid,0.53105885,0.53105885,0,551,0.2,0.53105885,0,0,0,0,78,1,1,ranked 9,ranked 11
Compress,220_sigmuid,0.417931317,0.417931317,0,551,0.2,0.417931317,0,0,0,0,78,1,1,ranked 29,ranked 23
Compress,240_sigmuid,0.461994727,0.461994727,0,551,0.2,0.461994727,0,0,0,0,78,1,1,ranked 12,ranked 21
Compress,260_sigmuid,0.600129792,0.600129792,0,551,0.2,0.600129792,0,0,0,0,78,1,1,ranked 17,ranked 18
Compress,280_sigmuid,0.457764024,0.457764024,0,551,0.2,0.457764024,0,0,0,0,78,1,1,ranked 8,ranked 15
Compress,300_sigmuid,0.452751719,0.452751719,0,551,0.2,0.452751719,0,0,0,0,78,1,1,ranked 18,ranked 13
Compress,320_sigmuid,0.461209225,0.461209225,0,551,0.2,0.461209225,0,0,0,0,78,1,1,ranked 30,ranked 9
Compress,340_sigmuid,0.531970961,0.531970961,0,551,0.2,0.531970961,0,0,0,0,78,1,1,ranked 25,ranked 20
Compress,360_sigmuid,0.577348119,0.577348119,0,551,0.2,0.577348119,0,0,0,0,78,1,1,ranked 4,ranked 27
Compress,380_sigmuid,0.456262753,0.456262753,0,551,0.2,0.456262753,0,0,0,0,78,1,1,ranked 7,ranked 22
Compress,400_sigmuid,0.593392788,0.593392788,0,551,0.2,0.593392788,0,0,0,0,78,1,1,ranked 16,ranked 30
Compress,420_sigmuid,0.511436274,0.511436274,0,551,0.2,0.511436274,0,0,0,0,78,1,1,ranked 20,ranked 25
Compress,440_sigmuid,0.512606575,0.512606575,0,551,0.2,0.512606575,0,0,0,0,78,1,1,ranked 27,ranked 8
Compress,460_sigmuid,0.538674515,0.538674515,0,551,0.2,0.538674515,0,0,0,0,78,1,1,ranked 11,ranked 19
Compress,480_sigmuid,0.613096287,0.613096287,0,551,0.2,0.613096287,0,0,0,0,78,1,1,ranked 21,ranked 29
Compress,500_sigmuid,0.58089235,0.58089235,0,551,0.2,0.58089235,0,0,0,0,78,1,1,ranked 24,ranked 14
Compress,520_sigmuid,0.548840954,0.548840954,0,551,0.2,0.548840954,0,0,0,0,78,1,1,ranked 22,ranked 24
Compress,540_sigmuid,0.616194697,0.616194697,0,551,0.2,0.616194697,0,0,0,0,78,1,1,ranked 28,ranked 12
Compress,560_sigmuid,0.680227078,0.680227078,0,551,0.2,0.680227078,0,0,0,0,78,1,1,ranked 15,ranked 28
Compress,580_sigmuid,0.648886856,0.648886856,0,551,0.2,0.648886856,0,0,0,0,78,1,1,ranked 14,ranked 26
Compress,600_sigmuid,0.459069455,0.459069455,0,551,0.2,0.459069455,0,0,0,0,78,1,1,ranked 23,ranked 17
Compress,20_sigmuid,0,0,5,339,0.2,0,100,100,1,100,194,1,2,ranked 2,ranked 1
Compress,40_sigmuid,0,0,5,339,0.2,0,100,100,1,100,194,1,2,ranked 1,ranked 2
Compress,60_sigmuid,0,0,5,339,0.2,0,100,100,1,100,194,1,2,ranked 3,ranked 4
